№,Назва,Одиниця,Бал,Результат
1,метання медболу,м,50,"6,70"
1,метання медболу,м,49,"6,60"
1,метання медболу,м,48,"6,50"
1,метання медболу,м,47,"6,40"
1,метання медболу,м,46,"6,30"
1,метання медболу,м,45,"6,20"
1,метання медболу,м,44,"6,10"
1,метання медболу,м,43,"6,00"
1,метання медболу,м,42,"5,90"
1,метання медболу,м,41,"5,80"
1,метання медболу,м,40,"5,70"
1,метання медболу,м,39,"5,60"
1,метання медболу,м,38,"5,50"
1,метання медболу,м,37,"5,40"
1,метання медболу,м,36,"5,30"
1,метання медболу,м,35,"5,20"
1,метання медболу,м,33,"5,10"
1,метання медболу,м,31,"5,00"
1,метання медболу,м,29,"4,90"
1,метання медболу,м,27,"4,80"
1,метання медболу,м,25,"4,70"
1,метання медболу,м,23,"4,60"
1,метання медболу,м,21,"4,50"
1,метання медболу,м,19,"4,30"
1,метання медболу,м,18,"4,20"
1,метання медболу,м,17,"4,10"
1,метання медболу,м,16,"4,00"
1,метання медболу,м,15,"3,90"
1,метання медболу,м,14,"3,80"
1,метання медболу,м,13,"3,70"
1,метання медболу,м,12,"3,60"
1,метання медболу,м,11,"3,50"
1,метання медболу,м,10,"3,40"
1,метання медболу,м,9,"3,30"
1,метання медболу,м,8,"3,20"
1,метання медболу,м,7,"3,10"
1,метання медболу,м,6,"3,00"
14,комплексна силова вправа,рази,50,57
14,комплексна силова вправа,рази,49,56
14,комплексна силова вправа,рази,48,55
14,комплексна силова вправа,рази,47,54
14,комплексна силова вправа,рази,46,53
14,комплексна силова вправа,рази,45,52
14,комплексна силова вправа,рази,44,51
14,комплексна силова вправа,рази,43,50
14,комплексна силова вправа,рази,42,49
14,комплексна силова вправа,рази,41,48
14,комплексна силова вправа,рази,40,47
14,комплексна силова вправа,рази,39,46
14,комплексна силова вправа,рази,38,45
14,комплексна силова вправа,рази,37,44
14,комплексна силова вправа,рази,36,43
14,комплексна силова вправа,рази,35,42
14,комплексна силова вправа,рази,34,41
14,комплексна силова вправа,рази,33,40
14,комплексна силова вправа,рази,32,39
14,комплексна силова вправа,рази,31,38
14,комплексна силова вправа,рази,30,37
14,комплексна силова вправа,рази,29,36
14,комплексна силова вправа,рази,28,35
14,комплексна силова вправа,рази,27,34
14,комплексна силова вправа,рази,26,33
14,комплексна силова вправа,рази,25,32
14,комплексна силова вправа,рази,24,31
14,комплексна силова вправа,рази,23,30
14,комплексна силова вправа,рази,22,29
14,комплексна силова вправа,рази,21,28
14,комплексна силова вправа,рази,20,27
14,комплексна силова вправа,рази,19,26
14,комплексна силова вправа,рази,18,25
14,комплексна силова вправа,рази,17,24
14,комплексна силова вправа,рази,16,23
14,комплексна силова вправа,рази,15,22
14,комплексна силова вправа,рази,14,21
14,комплексна силова вправа,рази,13,20
14,комплексна силова вправа,рази,12,19
14,комплексна силова вправа,рази,11,18
14,комплексна силова вправа,рази,10,17
14,комплексна силова вправа,рази,9,16
14,комплексна силова вправа,рази,8,15
14,комплексна силова вправа,рази,7,14
14,комплексна силова вправа,рази,6,13
28,біг на 100 м,с,50,"14,4"
28,біг на 100 м,с,49,"14,5"
28,біг на 100 м,с,48,"14,6"
28,біг на 100 м,с,47,"14,7"
28,біг на 100 м,с,46,"14,8"
28,біг на 100 м,с,45,"14,9"
28,біг на 100 м,с,44,"15,0"
28,біг на 100 м,с,43,"15,1"
28,біг на 100 м,с,42,"15,2"
28,біг на 100 м,с,41,"15,3"
28,біг на 100 м,с,40,"15,4"
28,біг на 100 м,с,39,"15,5"
28,біг на 100 м,с,38,"15,6"
28,біг на 100 м,с,37,"15,7"
28,біг на 100 м,с,36,"15,8"
28,біг на 100 м,с,35,"15,9"
28,біг на 100 м,с,34,"16,0"
28,біг на 100 м,с,33,"16,1"
28,біг на 100 м,с,32,"16,2"
28,біг на 100 м,с,31,"16,3"
28,біг на 100 м,с,30,"16,4"
28,біг на 100 м,с,29,"16,5"
28,біг на 100 м,с,28,"16,6"
28,біг на 100 м,с,27,"16,7"
28,біг на 100 м,с,26,"16,8"
28,біг на 100 м,с,25,"16,9"
28,біг на 100 м,с,24,"17,0"
28,біг на 100 м,с,23,"17,1"
28,біг на 100 м,с,22,"17,2"
28,біг на 100 м,с,21,"17,3"
28,біг на 100 м,с,20,"17,4"
28,біг на 100 м,с,19,"17,5"
28,біг на 100 м,с,18,"17,6"
28,біг на 100 м,с,17,"17,7"
28,біг на 100 м,с,16,"17,8"
28,біг на 100 м,с,15,"17,9"
28,біг на 100 м,с,14,"18,0"
28,біг на 100 м,с,13,"18,1"
28,біг на 100 м,с,12,"18,2"
28,біг на 100 м,с,11,"18,3"
31,біг на 1 км,"хв, с",50,"3,33"
31,біг на 1 км,"хв, с",49,"3,34"
31,біг на 1 км,"хв, с",48,"3,35"
31,біг на 1 км,"хв, с",47,"3,36"
31,біг на 1 км,"хв, с",46,"3,37"
31,біг на 1 км,"хв, с",45,"3,38"
31,біг на 1 км,"хв, с",44,"3,41"
31,біг на 1 км,"хв, с",43,"3,44"
31,біг на 1 км,"хв, с",42,"3,47"
31,біг на 1 км,"хв, с",41,"3,50"
31,біг на 1 км,"хв, с",40,"3,53"
31,біг на 1 км,"хв, с",39,"3,56"
31,біг на 1 км,"хв, с",38,"3,59"
31,біг на 1 км,"хв, с",37,"4,02"
31,біг на 1 км,"хв, с",36,"4,05"
31,біг на 1 км,"хв, с",35,"4,03"
31,біг на 1 км,"хв, с",34,"4,06"
31,біг на 1 км,"хв, с",33,"4,09"
31,біг на 1 км,"хв, с",32,"4,12"
31,біг на 1 км,"хв, с",31,"4,15"
31,біг на 1 км,"хв, с",30,"4,18"
31,біг на 1 км,"хв, с",29,"4,21"
31,біг на 1 км,"хв, с",28,"4,24"
31,біг на 1 км,"хв, с",27,"4,27"
31,біг на 1 км,"хв, с",26,"4,30"
31,біг на 1 км,"хв, с",25,"4,35"
31,біг на 1 км,"хв, с",24,"4,40"
31,біг на 1 км,"хв, с",23,"4,50"
31,біг на 1 км,"хв, с",22,"5,00"
31,біг на 1 км,"хв, с",21,"5,10"
31,біг на 1 км,"хв, с",20,"5,20"
31,біг на 1 км,"хв, с",19,"5,30"
31,біг на 1 км,"хв, с",18,"5,40"
31,біг на 1 км,"хв, с",17,"5,50"
31,біг на 1 км,"хв, с",16,"6,00"
31,біг на 1 км,"хв, с",15,"6,10"
31,біг на 1 км,"хв, с",14,"6,20"
31,біг на 1 км,"хв, с",13,"6,30"
31,біг на 1 км,"хв, с",12,"6,40"
31,біг на 1 км,"хв, с",11,"6,50"
31,біг на 1 км,"хв, с",10,"7,00"
31,біг на 1 км,"хв, с",9,"7,10"
31,біг на 1 км,"хв, с",8,"7,20"
31,біг на 1 км,"хв, с",7,"7,30"
31,біг на 1 км,"хв, с",6,"7,35"
32б,функціональна витривалість,"хв, с",50,785
32б,функціональна витривалість,"хв, с",49,780
32б,функціональна витривалість,"хв, с",48,775
32б,функціональна витривалість,"хв, с",47,770
32б,функціональна витривалість,"хв, с",46,765
32б,функціональна витривалість,"хв, с",45,760
32б,функціональна витривалість,"хв, с",44,755
32б,функціональна витривалість,"хв, с",43,750
32б,функціональна витривалість,"хв, с",42,745
32б,функціональна витривалість,"хв, с",41,740
32б,функціональна витривалість,"хв, с",40,735
32б,функціональна витривалість,"хв, с",39,730
32б,функціональна витривалість,"хв, с",38,725
32б,функціональна витривалість,"хв, с",37,720
32б,функціональна витривалість,"хв, с",36,715
32б,функціональна витривалість,"хв, с",35,710
32б,функціональна витривалість,"хв, с",34,705
32б,функціональна витривалість,"хв, с",33,700
32б,функціональна витривалість,"хв, с",32,695
32б,функціональна витривалість,"хв, с",31,690
32б,функціональна витривалість,"хв, с",30,685
32б,функціональна витривалість,"хв, с",29,680
32б,функціональна витривалість,"хв, с",28,675
32б,функціональна витривалість,"хв, с",27,670
32б,функціональна витривалість,"хв, с",26,660
32б,функціональна витривалість,"хв, с",25,650
32б,функціональна витривалість,"хв, с",24,640
32б,функціональна витривалість,"хв, с",23,630
32б,функціональна витривалість,"хв, с",22,620
32б,функціональна витривалість,"хв, с",21,610
32б,функціональна витривалість,"хв, с",20,600
32б,функціональна витривалість,"хв, с",19,590
32б,функціональна витривалість,"хв, с",18,580
32б,функціональна витривалість,"хв, с",17,570
32б,функціональна витривалість,"хв, с",16,560
32б,функціональна витривалість,"хв, с",15,550
32б,функціональна витривалість,"хв, с",14,540
32б,функціональна витривалість,"хв, с",13,530
32б,функціональна витривалість,"хв, с",12,520
32б,функціональна витривалість,"хв, с",11,510
32б,функціональна витривалість,"хв, с",10,500
32б,функціональна витривалість,"хв, с",9,490
32б,функціональна витривалість,"хв, с",8,485
32б,функціональна витривалість,"хв, с",7,480
32б,функціональна витривалість,"хв, с",6,475
